0-10,20-oct,20-30,30-40,40-50,50-60,60-70,70-80,80-90,90-100,Toxics commits avarage,Number of authors with toxic commits,Number of authors with toxic commits > 50%,Total commits,Total commits per day,Accumulated commits,Committers,suma,Committers Weight,classes,ncloc,functions,duplicated_lines,test_errors,skipped_tests,coverage,complexity,comment_lines,comment_lines_density,duplicated_lines_density,files,directories,file_complexity,violations,duplicated_blocks,duplicated_files,lines,public_api,statements,blocker_violations,critical_violations,major_violations,minor_violations,info_violations,lines_to_cover,line_coverage,conditions_to_cover,branch_coverage,sqale_index,sqale_rating,false_positive_issues,open_issues,reopened_issues,confirmed_issues,sqale_debt_ratio,new_sqale_debt_ratio,code_smells,new_code_smells,bugs,effort_to_reach_maintainability_rating_a,reliability_remediation_effort,reliability_rating,security_remediation_effort,security_rating,cognitive_complexity,new_development_cost,security_hotspots,security_review_rating,%Toxicos
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4833,0,4833,0,1113,163990,10525,5960,0,0,2.1,18494,15085,8.4,2.5,1688,0,12.6,4331,244,127,242688,0,39269,42,247,2687,1295,60,46451,1.7,6418,4.8,25703,1,7,4331,0,0,0.5,0.079551104,2980,0,1299,0,4244,3,1290,5,11346,281580,22,5,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4833,0,4833,0,1113,163990,10525,5960,0,0,2.1,18494,15085,8.4,2.5,1688,0,12.6,4331,244,127,242688,0,39269,42,247,2687,1295,60,46451,1.7,6418,4.8,25703,1,7,4331,0,0,0.5,0.079551104,2980,0,1299,0,4244,3,1290,5,11346,281580,22,5,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4833,0,4833,0,1113,163990,10525,5960,0,0,2.1,18494,15085,8.4,2.5,1688,0,12.6,4331,244,127,242688,0,39269,42,247,2687,1295,60,46451,1.7,6418,4.8,25703,1,7,4331,0,0,0.5,0.079551104,2980,0,1299,0,4244,3,1290,5,11346,281580,22,5,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4833,0,4833,0,1113,163990,10525,5960,0,0,2.1,18494,15085,8.4,2.5,1688,0,12.6,4331,244,127,242688,0,39269,42,247,2687,1295,60,46451,1.7,6418,4.8,25703,1,7,4331,0,0,0.5,0.079551104,2980,0,1299,0,4244,3,1290,5,11346,281580,22,5,1
0,0,0,0,0,0,0,0,1,2,0.907085737,2,2,3,0.75,4833,2,4840.75,44.44444444,1113,163985,10525,5960,0,0,2.1,18493,15085,8.4,2.5,1688,0,12.6,4334,244,127,242681,0,39267,42,247,2687,1298,60,46449,1.7,6418,4.8,25700,1,7,4334,0,0,0.5,0.076775432,2980,0,1302,0,4250,3,1290,5,11343,281340,22,5,3
0,0,0,0,1,1,0,0,0,1,0.504237453,2,2,3,1,4830,2,4838,44.44444444,1113,163927,10524,5960,0,0,2.1,18475,15057,8.4,2.5,1688,0,12.6,4337,244,127,242587,0,39249,42,247,2690,1298,60,46415,1.7,6408,4.8,25715,1,7,4337,0,0,0.5,0.077661525,2983,0,1302,0,4250,3,1290,5,11335,278130,22,5,2
2,0,0,0,0,0,0,0,2,0,0.43808189,1,1,4,1,4827,1,4834,100,1113,163929,10524,5960,0,0,2.1,18475,15057,8.4,2.5,1688,0,12.6,4337,244,127,242589,0,39251,42,247,2690,1298,60,46417,1.7,6408,4.8,25715,1,7,4337,0,0,0.5,0.077678282,2983,0,1302,0,4250,3,1290,5,11335,278070,22,5,2
2,0,0,0,0,0,0,0,0,0,0,0,0,2,0.285714286,4823,2,4827.285714,50,1113,163877,10524,5960,0,0,2.1,18476,15060,8.4,2.5,1688,0,12.6,4338,244,127,242537,0,39268,42,247,2691,1298,60,46401,1.7,6410,4.8,25720,1,7,4338,0,0,0.5,0.080160321,2984,0,1302,0,4250,3,1290,5,11334,269460,22,5,1
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.333333333,4821,1,4823.333333,100,1113,163877,10524,5960,0,0,2.1,18476,15060,8.4,2.5,1688,0,12.6,4338,244,127,242537,0,39268,42,247,2691,1298,60,46401,1.7,6410,4.8,25720,1,7,4338,0,0,0.5,0.080160321,2984,0,1302,0,4250,3,1290,5,11334,269460,22,5,1
1,0,0,0,0,0,0,0,1,0,0.435442358,1,1,2,0.5,4820,1,4824.5,100,1113,163824,10522,5960,0,0,2.1,18469,15056,8.4,2.5,1688,0,12.6,4338,244,127,242472,0,39249,42,247,2691,1298,60,46372,1.7,6400,4.8,25720,1,7,4338,0,0,0.5,0.080799012,2984,0,1302,0,4250,3,1290,5,11331,267330,22,5,2
